Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Occupancy,Proposed Occupancy,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Last Permit Activity Date,Application Submission Method,ADU,Primary Address Flag,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Point Source,Record ID,data_as_of,data_loaded_at
201912300980,8,otc alterations permit,12/30/2019,0933,010,2770,,Lombard,St,0,,installation of exterior ornamentation to restore historical characteristics of the building. maher na,issued,01/07/2020 02:46:48 PM,12/30/2019 02:28:23 PM,01/07/2020 02:46:48 PM,,,,4,4,,,75000,75000,apartments,55,apartments,55,2,,R-2,R-2,3,constr type 3,3,constr type 3,,01/07/2020 02:42:54 PM,in-house,N,Y,2,Marina,94123,POINT (-122.44683 37.798786),eas_address_point,1580891406667,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201608296199,8,otc alterations permit,08/29/2016,3781,003,555,,09th,St,,,"adding notification alert throughout space, 1 power supply, 1 smoke, 7 ada multi candela horn/strobes, 5 multi candela strobes. reference 2016.0429.6169. maher na",complete,11/15/2016 08:20:34 AM,08/29/2016 09:20:24 AM,08/29/2016 10:54:04 AM,11/15/2016 08:20:34 AM,,,2,2,,Y,11300,11300,retail sales,,retail sales,,2,,"B,M,A-2","B,M,A-2",2,constr type 2,2,constr type 2,,08/29/2016 10:48:38 AM,in-house,N,Y,6,South of Market,94103,POINT (-122.40731 37.771027),eas_address_point,1435356167586,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201607223100,8,otc alterations permit,07/22/2016,0319,018,500,,Hyde,St,,,"#107 interior remodel - relocate kitchen, remodel (e) bathroom. provide new bedroom.  maher na",reinstated,09/27/2016 09:33:04 AM,07/22/2016 11:23:55 AM,09/19/2016 03:03:29 PM,,,,7,7,,,30000,30000,apartments,50,apartments,50,2,,R-2,R-2,3,constr type 3,3,constr type 3,,09/19/2016 02:45:39 PM,in-house,N,Y,5,Tenderloin,94109,POINT (-122.41608 37.785625),eas_address_point,143106469444,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201603152015,8,otc alterations permit,03/15/2016,3751,157,360,,03rd,St,,,"6th floor, electrical work for ti ref pa 2016-0308-1412. maher na",complete,10/31/2016 03:44:13 PM,03/15/2016 08:42:12 AM,03/15/2016 12:11:09 PM,10/31/2016 03:44:13 PM,,,8,8,,,5000,5000,office,0,office,0,2,,B,B,1,constr type 1,1,constr type 1,,03/15/2016 12:07:27 PM,in-house,N,Y,6,South of Market,94107,POINT (-122.398346 37.7827),eas_address_point,1415920488748,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201605046575,8,otc alterations permit,05/04/2016,0301,014,984,,Post,St,,,"remodel portion of basement floor. relocate laundry room, create new sparation for e boiler rooms and e elec rm to accomodate for new storage. maher na",filed,05/04/2016 02:56:57 PM,05/04/2016 02:56:57 PM,,,,,5,5,,,25000,90000,apartments,55,apartments,55,2,,"M,R-2","M,R-2",5,wood frame (5),5,wood frame (5),,05/11/2016 10:14:49 AM,in-house,N,,3,Nob Hill,94109,POINT (-122.41808 37.787296),eas_address_point,1422048453660,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201910023335,8,otc alterations permit,10/02/2019,3717,023,123,,Mission,St,,,fire alarm - 2 control relay for fan coil units in elevator machine room. ref pa #201907105484. maher na,issued,10/02/2019 02:30:36 PM,10/02/2019 12:30:07 PM,10/02/2019 02:30:36 PM,,,,29,29,,Y,1200,1200,office,0,office,0,2,,B,B,1,constr type 1,1,constr type 1,,10/02/2019 02:29:17 PM,in-house,N,Y,6,Financial District/South Beach,94105,POINT (-122.39434 37.79188),eas_address_point,1570410164644,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201606240795,8,otc alterations permit,06/24/2016,0478,016,1165,,Francisco,St,0,,"unit 10 - demo of walls, windows, doors, electrical. new walls, window replacement, doors cabinet, plumbing fixtures, elec, mech, lighting and appliances. maher na",complete,10/19/2016 11:55:35 AM,06/24/2016 09:43:42 AM,08/08/2016 12:59:48 PM,10/19/2016 11:55:35 AM,,,4,4,,,70000,70000,apartments,12,apartments,12,2,,R-2,R-2,5,wood frame (5),5,wood frame (5),,08/08/2016 12:53:41 PM,in-house,N,Y,2,Russian Hill,94109,POINT (-122.42422 37.80304),eas_address_point,1427869413337,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201605096894,4,sign - erect,05/09/2016,3775,038,101,,South Park,,,,erect non illum sign maher na,issued,08/30/2016 08:01:27 AM,05/09/2016 09:27:35 AM,08/30/2016 08:01:27 AM,,,,2,,,,1000,1000,office,,,,2,,B,,2,constr type 2,,,,08/30/2016 07:58:02 AM,in-house,N,Y,6,Financial District/South Beach,94107,POINT (-122.39375 37.78126),eas_address_point,1422476470392,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201602048877,8,otc alterations permit,02/04/2016,0241,027,600,,California,St,0,,"demo of non-structural partitions, glazing, ceiling tile and grid, light fixtures, electrical. build back of non-structural partitions, glazing, millwork and light fixtures. sprinkler, electrical, life safety deferred. maher na",complete,12/01/2016 03:16:02 PM,02/04/2016 02:26:12 PM,02/05/2016 12:23:17 PM,12/01/2016 03:16:02 PM,,,20,20,,,257000,257000,office,0,office,0,2,,B,B,1,constr type 1,1,constr type 1,,02/05/2016 12:17:01 PM,in-house,N,Y,3,Chinatown,94108,POINT (-122.404856092 37.793109782),parcel_centroid,1411478429338,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201602260684,8,otc alterations permit,02/26/2016,1010,001,3501,,Clay,St,,,replacing existing fixed glass roof with pre engineered operable glass roof over existing rainy day room. install new tempered glass panels at existing south and west walls. maher na,complete,10/12/2016 03:50:50 PM,02/26/2016 02:47:52 PM,05/27/2016 08:05:42 AM,10/12/2016 03:50:50 PM,,,3,3,,,130000,130000,1 family dwelling,1,1 family dwelling,1,2,,R-3,R-3,5,wood frame (5),5,wood frame (5),,05/27/2016 08:02:06 AM,in-house,N,Y,2,Presidio Heights,94118,POINT (-122.4506 37.788357),eas_address_point,141415887004,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201603242947,8,otc alterations permit,03/24/2016,3710,017,350,,Mission,St,,,"fire sprinklers ti on floor 25, add 92 heads & relocate. ref pa 2016-0211-9443. maher na",complete,07/02/2019 03:30:10 PM,03/24/2016 08:50:49 AM,03/31/2016 10:14:36 AM,07/02/2019 03:30:10 PM,,,28,28,,Y,47290,47565,office,,office,,2,,B,B,1,constr type 1,1,constr type 1,,03/31/2016 10:02:20 AM,in-house,N,Y,6,Financial District/South Beach,94105,POINT (-122.39668 37.790886),eas_address_point,1417171164586,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201602220129,8,otc alterations permit,02/22/2016,0238,001,275,,Battery,St,0,,"11th floor, suite 1120: electrical work - no mechanical, no - architectural. carpet and paint. maher na",complete,04/18/2016 11:48:04 AM,02/22/2016 07:59:22 AM,02/22/2016 08:27:34 AM,04/18/2016 11:48:04 AM,,,30,30,,,200000,21000,office,,office,,2,,B,B,1,constr type 1,1,constr type 1,,02/22/2016 08:25:29 AM,in-house,N,Y,3,Financial District/South Beach,94104,POINT (-122.400375 37.79386),eas_address_point,1413430296686,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201602109205,8,otc alterations permit,02/10/2016,4229,004,1275,,Minnesota,St,,,"partial height and full height non bearing partition walls in tenant space.  maher na mstr  ref pa 2015-0206-7724 gallery #'s 104, 105, 202, 206, 208 & 209",issued,02/18/2016 07:47:53 AM,02/10/2016 07:38:17 AM,02/18/2016 07:47:53 AM,,,,2,2,,,10000,10000,"warehouse, furniture",,workshop commercial,,2,,F-1,"A-3,A-2,M",3,constr type 3,3,constr type 3,,02/18/2016 07:40:58 AM,in-house,N,Y,10,Potrero Hill,94107,POINT (-122.38938 37.754253),eas_address_point,1411904172515,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201602260587,8,otc alterations permit,02/26/2016,0232,016,3,,Embarcadero Center,,,,"4th flr: new toilet rooms, plumb fixtures, accessories, finishes. new finishes in commn elevator lobby & cooridor. no change in occupancy, use or area. mep under sep permit maher na",complete,03/01/2017 02:14:53 PM,02/26/2016 08:18:25 AM,03/07/2016 11:59:52 AM,03/01/2017 02:14:53 PM,,,30,30,,,151000,151000,office,0,office,0,2,,"B,M,S-2","B,M,S-2",1,constr type 1,1,constr type 1,,03/07/2016 11:46:57 AM,in-house,N,Y,3,Financial District/South Beach,94111,POINT (-122.397296094 37.794947196),parcel_centroid,141404263349,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201606200395,8,otc alterations permit,06/20/2016,0040,018,227,,Bay,St,,,"phase iii, install new notification appliances in the north part of the bld. new power supply & heat detector above. new devices will be tie-in to (e) fire control panel. ref pa 2015 0306 0182 ph i 2016 0216 9466 ph ii 2016 0422 5496  maher na",complete,08/23/2017 08:47:27 AM,06/20/2016 12:38:12 PM,06/20/2016 02:13:41 PM,08/23/2017 08:47:27 AM,,,3,3,,Y,9800,9800,apartments,50,apartments,50,2,,R-2,R-2,5,wood frame (5),5,wood frame (5),,06/20/2016 02:07:07 PM,in-house,N,Y,3,North Beach,94133,POINT (-122.41129 37.80562),eas_address_point,142733456449,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201604285989,8,otc alterations permit,04/28/2016,4353,012,1380,,Marin,St,,,upgrade and relocate existing local fire alarm panel to new location. monitor offsite existing sprinkler systems throughout building. ref pa 2015-0622-9578. maher na,complete,05/12/2016 08:24:58 AM,04/28/2016 02:36:08 PM,04/28/2016 03:50:19 PM,05/12/2016 08:24:58 AM,,,1,1,,Y,3000,7500,"warehouse,no frnitur",0,"warehouse,no frnitur",0,2,,"S-2,M","S-2,M",3,constr type 3,3,constr type 3,,04/28/2016 03:46:47 PM,in-house,N,,10,Bayview Hunters Point,94124,POINT (-122.3894 37.74934),eas_address_point,1421357495512,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201603020942,3,additions alterations or repairs,03/02/2016,4591C,010,103,,Horne,Av,,,"provide a new fire alarm system for the hunters point commercial kitchen. the system shall include: annunicator, pull station, duct detectors w/ central relays, and insul ada compliant devices throughout the bld. maher na",complete,07/07/2017 02:25:28 PM,03/02/2016 07:46:07 AM,11/10/2016 02:11:53 PM,07/07/2017 02:25:28 PM,,,,2,,Y,24028,24000,vacant lot,,food/beverage hndlng,,2,,,F-1,,,5,wood frame (5),,11/10/2016 02:00:39 PM,in-house,N,Y,10,Bayview Hunters Point,94124,POINT (-122.36561 37.726593),eas_address_point,1414517497006,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201910043642,8,otc alterations permit,10/04/2019,3783,011,855,,Brannan,St,,,installation of structural form and slab. maher na,complete,03/11/2020 12:12:24 PM,10/04/2019 02:49:19 PM,12/27/2019 08:31:02 AM,03/11/2020 12:12:24 PM,,,6,6,,,15423,15000,retail sales,434,retail sales,434,2,,"M,B,R-2,S-2","M,B,R-2,S-2",1,constr type 1,1,constr type 1,,12/27/2019 08:28:19 AM,in-house,N,Y,6,South of Market,94103,POINT (-122.404305 37.771973),eas_address_point,1570867514084,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201606230697,8,otc alterations permit,06/23/2016,0708,021,1489,,Webster,St,,,"14th flr, unit #1408: interior remodel - relocate walls, install partition to add bedroom., relocate kitchen & remodel bath . no change in exit or occupied area  maher na",complete,08/25/2016 04:10:37 PM,06/23/2016 10:39:01 AM,06/27/2016 10:02:06 AM,08/25/2016 04:10:37 PM,,,14,14,,,40000,55000,apartments,156,apartments,156,2,,"B,M,R-2","B,M,R-2",1,constr type 1,1,constr type 1,,06/27/2016 09:58:20 AM,in-house,N,Y,5,Western Addition,94115,POINT (-122.43201 37.783894),eas_address_point,142774179983,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201604144753,8,otc alterations permit,04/14/2016,3751,157,360,,03rd,St,,,6th flr: electrical  work for ti 2016 0308 1412  maher na,complete,10/31/2016 03:34:17 PM,04/14/2016 08:06:51 AM,05/03/2016 09:07:20 AM,10/31/2016 03:34:17 PM,,,6,6,,,10000,22000,office,,office,,2,,B,B,1,constr type 1,1,constr type 1,,05/03/2016 08:58:59 AM,in-house,N,Y,6,South of Market,94107,POINT (-122.398346 37.7827),eas_address_point,1419625488748,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201604255539,8,otc alterations permit,04/25/2016,0207,032,600,,Montgomery,St,0,,"fire alarm work for the ""thomas bravo"" ti remodel on floor 21; additions are 6 smoke detectros, 1 pull station, 1 strobe power supply, 2 modules, 21 speakers, 19 nspeaker/strobes, and 5 strobes. ref pa 2016-0122-7709. maher na",complete,06/28/2016 09:47:15 AM,04/25/2016 07:32:09 AM,04/25/2016 08:24:49 AM,06/28/2016 09:47:15 AM,,,50,50,,Y,29770,29770,office,0,office,0,2,,B,B,1,constr type 1,1,constr type 1,,04/25/2016 08:21:42 AM,in-house,N,Y,3,Chinatown,94111,POINT (-122.40273 37.79516),eas_address_point,1420700296199,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201605117149,8,otc alterations permit,05/11/2016,0975,006,3034,,Jackson,St,,,installation of a new manual and automatic fire alarm system. ref pa 2007-0712-6583. maher na,complete,01/19/2018 10:51:36 AM,05/11/2016 12:13:57 PM,05/16/2016 04:14:47 PM,01/19/2018 10:51:36 AM,,,4,4,,Y,17500,25000,apartments,5,apartments,5,2,,R-2,R-2,5,wood frame (5),5,wood frame (5),,05/16/2016 04:08:15 PM,in-house,N,,2,Pacific Heights,94115,POINT (-122.44512 37.7914),eas_address_point,1422826238393,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201603182455,8,otc alterations permit,03/18/2016,0311,008,88,,Kearny,St,,,revision to ref pa 2015 1020 0187 & 2016 02225 0571: removal od 2 emergency push buttons & removal of 2 card readers in elevator lobby.  maher na,withdrawn,04/28/2017 12:49:05 PM,03/18/2016 10:42:57 AM,,,,,21,21,,Y,1,0,office,,office,,2,,B,B,1,constr type 1,1,constr type 1,,04/28/2017 12:48:58 PM,in-house,N,Y,3,Financial District/South Beach,94108,POINT (-122.40346 37.788536),eas_address_point,1416511495355,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201605117126,8,otc alterations permit,05/11/2016,3753,096,233,,Shipley,St,,,"install fire alarm control panel, smoke detector & pull station near panel, notification appliances will be install throughout, install relay modules for elev. recall, monitor modules to tie-in sprinkler devices, install radio to communicate with central station. new bldg pa#201401247066. n/a maher",issued,05/11/2016 11:48:53 AM,05/11/2016 09:59:50 AM,05/11/2016 11:48:53 AM,,,,0,4,,Y,18700,18700,vacant lot,0,apartments,21,2,,NA,R-2,,,5,wood frame (5),,05/11/2016 11:44:30 AM,in-house,N,Y,6,South of Market,94107,POINT (-122.4035 37.779167),eas_address_point,1422787503065,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201603091592,8,otc alterations permit,03/09/2016,0233,045,4,,Embarcadero Center,,,,"relocate (149) pendents, remove (32) pendents. ref pa 2015-0923-7782 maher na",complete,08/09/2016 09:44:39 AM,03/09/2016 11:13:35 AM,03/09/2016 03:04:26 PM,08/09/2016 09:44:39 AM,,,40,40,,Y,43729,77067,office,0,office,0,2,,B,B,1,constr type 1,1,constr type 1,,03/09/2016 02:54:57 PM,in-house,N,Y,3,Financial District/South Beach,94111,POINT (-122.396235992 37.795533598),parcel_centroid,141537663352,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201603172289,8,otc alterations permit,03/17/2016,0296,009,450,,Post,St,,,"to remodel existing bar, men's & women's restroom. a non-bearing wall will be removed, men's & women's restroom will have an ada stall added with ada sink area. (n) plumbing & electrical. building has fire sprinkler system. maher na",filed,03/17/2016 09:04:09 AM,03/17/2016 09:04:09 AM,,,,,12,12,,,250000,250000,tourist hotel/motel,96,tourist hotel/motel,96,2,,"A-1,A-2,R-1","A-1,A-2,R-1",1,constr type 1,1,constr type 1,,03/17/2016 02:19:49 PM,in-house,N,Y,3,Nob Hill,94102,POINT (-122.40937 37.788456),eas_address_point,1416292233633,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201911258144,8,otc alterations permit,11/25/2019,0136,001,55,,Green,St,,,"ti of level 5 office space. improvement include non-structural partitions, doors, ceilings, lighting & finishes. electrical & mechicanl system are withing the socpe of work. maher na",issued,12/17/2019 09:56:40 AM,11/25/2019 02:44:57 PM,12/17/2019 09:56:40 AM,,,,5,5,,,2700000,2700000,office,0,office,0,2,,B,B,1,constr type 1,1,constr type 1,,12/17/2019 09:52:34 AM,in-house,N,Y,3,Financial District/South Beach,94111,POINT (-122.4005 37.800358),eas_address_point,157730060330,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201604296157,8,otc alterations permit,04/29/2016,0266,009,1,,Front,St,,,2nd flr: fire sprinkler- add 4 uprightd to unprotected common area.  maher na  was not in scope for sprinkler ref permit 201511062020.,issued,04/29/2016 12:41:46 PM,04/29/2016 10:50:33 AM,04/29/2016 12:41:46 PM,,,,38,38,,Y,2000,2000,office,,office,,2,,B,B,1,constr type 1,1,constr type 1,,04/29/2016 12:35:00 PM,in-house,N,Y,3,Financial District/South Beach,94111,POINT (-122.39862 37.79186),eas_address_point,1421453390418,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201606170199,8,otc alterations permit,06/17/2016,3780,008,42,,Decatur,St,,,"replace (e) semi-recessed sprinklers with new quick respinse sprinklers add 13, relocate 7 and plug 8 to comform with the new wall/ceiling layout of the ti  maher na",complete,09/27/2016 07:14:18 AM,06/17/2016 08:06:37 AM,06/17/2016 08:40:02 AM,09/27/2016 07:14:18 AM,,,2,2,,Y,5390,7000,office,,office,,2,,B,B,1,constr type 1,1,constr type 1,,06/17/2016 08:36:54 AM,in-house,N,Y,6,South of Market,94103,POINT (-122.40609 37.772224),eas_address_point,1427084290848,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201601278173,8,otc alterations permit,01/27/2016,0195,001,735,,Montgomery,St,,,install shower @ 1st floor. install shower area basement. maher na,filed,01/27/2016 03:30:01 PM,01/27/2016 03:30:01 PM,,,,,4,4,,,20000,0,health studios & gym,0,health studios & gym,0,2,,"B,M,A-3","B,M,A-3",3,constr type 3,3,constr type 3,,01/27/2016 03:33:41 PM,in-house,N,Y,3,Chinatown,94111,POINT (-122.403755 37.796215),eas_address_point,141056962223,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201603031079,8,otc alterations permit,03/03/2016,4280,026,1414,,Kansas,St,,,"revision to pa 2015-1119-3044, delete strong walls and replace with plywood shear walls. maher na",complete,05/24/2016 03:14:51 PM,03/03/2016 09:16:29 AM,03/03/2016 09:43:47 AM,05/24/2016 03:14:51 PM,,,3,3,,,1,1,apartments,8,apartments,8,2,,R-2,R-2,5,wood frame (5),5,wood frame (5),,03/03/2016 09:37:15 AM,in-house,N,Y,10,Potrero Hill,94107,POINT (-122.40249 37.751545),eas_address_point,1414685250096,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201601267988,8,otc alterations permit,01/26/2016,3765,022,401,,Harrison,St,0,,"replace ktichen & lav countertops units l22-2201, 22012, 2203, 2205, 2206, 2207, 2208, l-37-3701, 3702, 3703, 3705, 3706, 3707, 3708, l-38-3801, 3802, 3803, 3805, 3806, 3807, 3808, l47-4701 -4705, 4707, l-48-4801,4805, 4807, -l49-4901, 4907. maher na",complete,11/09/2016 03:39:24 PM,01/26/2016 11:17:54 AM,01/26/2016 11:51:17 AM,11/09/2016 03:39:24 PM,,,48,48,,,85000,87000,apartments,298,apartments,298,0,,R-2,R-2,1,constr type 1,1,constr type 1,,01/26/2016 11:39:50 AM,in-house,N,Y,6,Financial District/South Beach,94105,POINT (-122.39214 37.78649),eas_address_point,1410334481139,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201604285989,8,otc alterations permit,04/28/2016,4353,013,1635,,Indiana,St,,,upgrade and relocate existing local fire alarm panel to new location. monitor offsite existing sprinkler systems throughout building. ref pa 2015-0622-9578. maher na,complete,05/12/2016 08:24:58 AM,04/28/2016 02:36:08 PM,04/28/2016 03:50:19 PM,05/12/2016 08:24:58 AM,,,1,1,,Y,3000,7500,"warehouse,no frnitur",0,"warehouse,no frnitur",0,2,,"S-2,M","S-2,M",3,constr type 3,3,constr type 3,,04/28/2016 03:46:47 PM,in-house,N,Y,10,Bayview Hunters Point,94124,POINT (-122.3894 37.74934),eas_address_point,1421351495513,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201603303494,8,otc alterations permit,03/30/2016,6956,036,4796,,Mission,St,,,"work under 4798 mission street. rebuild/repair (2) existing stairs in the rear of the building and replace exterior plywood sheathing at the stair of the lounge area. comply with nov 201536061, items 3 & 4; maher ord155-13 na",complete,06/21/2017 03:14:05 PM,03/30/2016 01:56:41 PM,12/06/2016 11:12:23 AM,06/21/2017 03:14:05 PM,,,3,3,,,60000,60000,apartments,22,apartments,22,2,,R-2,R-2,5,wood frame (5),5,wood frame (5),,12/06/2016 11:10:11 AM,in-house,N,Y,11,Outer Mission,94112,POINT (-122.43761 37.72153),eas_address_point,1417903252710,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201602119332,8,otc alterations permit,02/11/2016,0238,001,275,,Battery,St,0,,"fire sprinkler only, ref pa 2015-1222-5767 - relocate 15 sprinkler pendents for spec suite #1120 on the 11th floor. maher na",complete,02/26/2016 02:27:55 PM,02/11/2016 07:48:29 AM,02/11/2016 09:48:43 AM,02/26/2016 02:27:55 PM,,,32,32,,Y,7500,9000,office,0,office,0,2,,B,B,1,constr type 1,1,constr type 1,,02/11/2016 09:25:17 AM,in-house,N,Y,3,Financial District/South Beach,94104,POINT (-122.400375 37.79386),eas_address_point,1412077296686,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201605208044,8,otc alterations permit,05/20/2016,0238,001,275,,Battery,St,0,,30th floor - corporate office - no patients: interior ti: glazing & acoustic ceilings. mep/fire/life safety will be as builkts under sep permit. no exterior work  maher na,complete,11/28/2016 02:35:34 PM,05/20/2016 02:51:40 PM,06/01/2016 03:49:30 PM,11/28/2016 02:35:34 PM,,,30,30,,,750000,750000,office,,office,,2,,"B,M","B,M",1,constr type 1,1,constr type 1,,06/01/2016 03:46:47 PM,in-house,N,Y,3,Financial District/South Beach,94104,POINT (-122.400375 37.79386),eas_address_point,1424070296686,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201604225435,8,otc alterations permit,04/22/2016,3709,014,425,,Market,St,,,"fire alarm work for the ""hanson bridgett"" ti remodel on floor 26; additions are 3 duct detectros, and the relocation of 2 speakers/3 strobes. ref pa 2015-1201-3836. maher na",issued,04/22/2016 08:53:19 AM,04/22/2016 07:40:32 AM,04/22/2016 08:53:19 AM,,,,38,38,,Y,3000,3000,office,0,office,0,2,,B,B,1,constr type 1,1,constr type 1,,04/22/2016 08:51:52 AM,in-house,N,Y,6,Financial District/South Beach,94105,POINT (-122.398125 37.791122),eas_address_point,1420553164577,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201601298302,8,otc alterations permit,01/29/2016,3716,021,121,,Spear,St,,,"(n) non structrual demising wall & exit doors in (e)vacant space. mep, life safety & sprinklers under sep permit. no chane in area, use or occupancy. maher na",complete,06/21/2016 01:34:31 PM,01/29/2016 08:32:19 AM,04/01/2016 12:03:59 PM,06/21/2016 01:34:31 PM,,,25,25,,,23989,24000,retail sales,320,retail sales,320,2,,"R-2,M","R-2,M",1,constr type 1,1,constr type 1,,04/01/2016 12:01:04 PM,in-house,N,Y,6,Financial District/South Beach,94105,POINT (-122.39275 37.79189),eas_address_point,1410728436366,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201603232900,8,otc alterations permit,03/23/2016,5457,037,2889,,San Bruno,Av,,,installation of a sprinkler monitoring system ref. 201209270764; maher na,complete,10/27/2016 07:59:11 AM,03/23/2016 03:17:08 PM,03/24/2016 02:39:06 PM,10/27/2016 07:59:11 AM,,,,4,,Y,2500,6092,vacant lot,,2 family dwelling,2,2,,S-3,"M,B,R-3",,,3,constr type 3,,03/24/2016 02:31:09 PM,in-house,N,,9,Portola,94134,POINT (-122.402596 37.72551),eas_address_point,1417112492459,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201605096859,8,otc alterations permit,05/09/2016,0239,030,343,,Sansome,St,0,,"10th floor: fire sprinkler ""william blair"" ti ref pa 2016 02119388: add 16 duct detectors, 6 speakers, 14 speaker/strobes, 1 strobe. replace 8 smoke det., 3 duct det.,and 5 modules. maher na",issued,05/09/2016 08:55:14 AM,05/09/2016 07:31:38 AM,05/09/2016 08:55:14 AM,,,,16,16,,Y,27180,27180,office,,office,,2,,B,B,1,constr type 1,1,constr type 1,,05/09/2016 08:50:35 AM,in-house,N,Y,3,Financial District/South Beach,94104,POINT (-122.40157 37.793617),eas_address_point,1422429392321,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201602240381,8,otc alterations permit,02/24/2016,0238,001,275,,Battery,St,0,,13th floor: new non rated partition in () offices space. electrical work maher na,complete,05/09/2016 12:21:08 PM,02/24/2016 11:29:36 AM,03/03/2016 11:46:30 AM,05/09/2016 12:21:08 PM,,,30,30,,,24332,24332,office,,office,,2,,B,B,1,constr type 1,1,constr type 1,,03/03/2016 11:33:19 AM,in-house,N,Y,3,Financial District/South Beach,94104,POINT (-122.400375 37.79386),eas_address_point,1413765296686,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201909272929,8,otc alterations permit,09/27/2019,0145,011,550,,Broadway,,,,commercial soft story retrofit per sfebc chapter 4d engineering criteria 2016 cebc appendix a-4. (residential soft story pa #201909272927) maher na,issued,10/10/2019 02:50:10 PM,09/27/2019 11:56:16 AM,10/10/2019 02:50:10 PM,,,,3,3,,,33000,40000,retail sales,32,retail sales,32,2,,"M,R-1","M,R-1",5,wood frame (5),5,wood frame (5),,10/10/2019 02:46:09 PM,in-house,N,,3,North Beach,94133,POINT (-122.40641 37.79809),eas_address_point,1569818256751,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201603242944,8,otc alterations permit,03/24/2016,3710,017,350,,Mission,St,,,"fire sprinklers ti in entire office space on floor 17, add 92 heads & relocate. ref pa 2015-1221-5643. maher na",complete,05/04/2016 07:22:33 AM,03/24/2016 08:50:48 AM,03/24/2016 01:42:43 PM,05/04/2016 07:22:33 AM,,,28,28,,Y,47290,47600,office,,office,,2,,B,B,1,constr type 1,1,constr type 1,,03/24/2016 01:33:11 PM,in-house,N,Y,6,Financial District/South Beach,94105,POINT (-122.39668 37.790886),eas_address_point,1417164164586,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
